Word	Match	Lexicality	Old20	Old20_Diff	Ned1	Ned1_Diff	Overlap_Ratio	Maxdeviation	Summed_Deviation	Maxdeviation_Transition
format	ferłat	N	1.95	0.35	1	-5	2/3	112	356	_fer[ła]t_
format	forbit	N	1.95	0.35	1	-5	2/3	-65	136	_forb[it]_
format	forbyt	N	2.0	0.4	0	-6	2/3	-93	190	_forb[yt]_
format	forłet	N	2.0	0.4	0	-6	2/3	-91	169	_fo[rł]et_
gatunek	facynek	N	2.45	0.45	1	0	2/3	-771	2152	_fa[cy]nek_
gatunek	farynek	N	2.0	0.0	0	-1	2/3	744	1901	_fa[r]ynek_
gatunek	fasynek	N	2.2	0.2	1	0	2/3	546	1475	_fas[y]nek_
gatunek	fabynek	N	2.5	0.5	0	-1	2/3	786	2409	_fa[b]ynek_
gatunek	focunek	N	2.65	0.65	0	-1	2/3	-734	2001	_fo[cu]nek_
gatunek	forunek	N	2.2	0.2	1	0	2/3	744	2030	_fo[r]unek_
gatunek	fokunek	N	2.7	0.7	0	-1	2/3	-601	1137	_[fo]kunek_
gatunek	fosunek	N	2.6	0.6	1	0	2/3	-601	1227	_[fo]sunek_
gatunek	fobunek	N	2.75	0.75	0	-1	2/3	786	1893	_fo[b]unek_
gatunek	fotynek	N	2.6	0.6	0	-1	2/3	-601	1595	_[fo]tynek_
gatunek	cacynek	N	2.3	0.3	2	1	2/3	-789	2710	_[ca]cynek_
gatunek	carynek	N	2.0	0.0	0	-1	2/3	-789	2459	_[ca]rynek_
gatunek	casynek	N	2.35	0.35	0	-1	2/3	-789	2033	_[ca]synek_
gatunek	cabynek	N	2.5	0.5	0	-1	2/3	-789	2967	_[ca]bynek_
